"ক্রম","দেশের নাম","মোট আক্রান্ত","নতুন সংক্রমণ","মোট মৃত","নতুন মৃত্যু","মোট সুস্থ","নতুন সুস্থ","চিকিৎসাধীন","মোট টেস্ট","মৃত্যুহার(%)"
"177","বিশ্ব (Global)","79,39,988","79,464","4,33,904","1,986","40,78,668","46,067","34,27,416","","5.46"
"123","যুক্তরাষ্ট্র (United States of America)","21,51,730","9,506","1,17,649","122","8,56,289","","11,77,792","2,44,61,266","5.47"
"172","ব্রাজিল (Brazil)","8,52,785","1,989","42,837","46","4,37,512","9,902","3,72,436","14,99,041","5.02"
"26","রাশিয়া (Russia)","5,28,964","8,835","6,948","119","2,80,050","5,409","2,41,966","1,48,80,172","1.31"
"29","ভারত (India)","3,32,739","11,113","9,514","315","1,69,465","7,139","1,53,760","56,58,614","2.86"
"116","যুক্তরাজ্য (United Kingdom)","2,95,889","1,514","41,698","36","","","","67,72,602","14.09"
"127","স্পেন (Spain)","2,90,685","","27,136","","","","","44,65,338","9.34"
"109","ইটালি (Italy)","2,36,989","338","34,345","44","1,76,370","1,505","26,274","46,20,718","14.49"
"197","পেরু (Peru)","2,25,132","","6,498","","1,11,724","","1,06,910","13,38,477","2.89"
"92","জার্মানি (Germany)","1,87,621","198","8,868","1","1,72,200","300","6,553","46,94,147","4.73"
"44","ইরান (Iran)","1,87,427","2,472","8,837","107","1,48,674","1,926","29,916","12,44,074","4.71"
"48","তুরস্ক (Turkey)","1,78,239","1,562","4,807","15","1,51,417","1,330","22,015","26,32,171","2.7"
"198","চিলি (Chile)","1,74,293","6,938","3,323","222","1,37,296","","33,674","8,40,150","1.91"
"113","ফ্রান্স (France)","1,56,813","","29,398","","72,808","","54,607","13,84,633","18.75"
"132","মেক্সিকো (Mexico)","1,42,690","3,494","16,872","424","1,04,975","3,208","20,843","4,01,755","11.82"
"35","পাকিস্তান (Pakistan)","1,39,230","6,825","2,632","81","51,735","1,679","84,863","8,68,565","1.89"
"54","সৌদি আরব (Saudi Arabia)","1,27,541","4,233","972","40","84,720","2,172","41,849","11,06,398","0.76"
"115","কানাডা (Canada)","98,735","325","8,146","39","60,241","887","30,348","21,13,924","8.25"
"31","বাংলাদেশ (Bangladesh)","87,520","3,141","1,171","32","18,730","902","67,619","5,04,465","1.34"
"11","চীন (China)","83,132","57","4,634","","78,369","2","129","","5.57"
"53","কাতার (Qatar)","79,602","1,186","73","3","56,898","1,646","22,631","2,90,714","0.09"
"148","দক্ষিণ আফ্রিকা (South Africa)","65,736","","1,423","","36,850","","27,463","10,87,887","2.16"
"89","বেলজিয়াম (Belgium)","60,029","111","9,655","5","16,589","42","33,785","10,24,302","16.08"
"79","বেলারুশ (Belarus)","53,973","732","308","5","30,103","992","23,562","7,33,788","0.57"
"91","সুইডেন (Sweden)","51,614","38","4,874","","","","","3,25,000","9.44"
"93","নেদারল্যান্ড (Netherlands)","48,783","143","6,059","2","","","","4,55,067","12.42"
"202","কলম্বিয়া (Colombia)","48,746","","1,592","","19,426","","27,728","4,82,832","3.27"
"196","ইকুয়েডর (Ecuador)","46,356","","3,874","","22,865","","19,617","1,34,141","8.36"
"80","মিশর (Egypt)","42,980","","1,484","","11,529","","29,967","1,35,000","3.45"
"32","সংযুক্ত আরব আমিরাত (United Arab Emirates)","42,294","304","289","1","27,462","701","14,543","26,26,000","0.68"
"39","সিঙ্গাপুর (Singapore)","40,604","407","26","","29,589","781","10,989","4,88,695","0.06"
"4","ইন্দোনেশিয়া (Indonesia)","38,277","857","2,134","43","14,531","755","21,612","5,14,287","5.58"
"126","পর্তুগাল (Portugal)","36,690","227","1,517","5","22,669","231","12,504","9,75,737","4.13"
"56","কুয়েত (Kuwait)","35,920","454","296","7","26,759","877","8,865","3,34,612","0.82"
"77","ইউক্রেন (Ukraine)","31,154","648","889","9","14,082","106","16,183","4,89,334","2.85"
"101","সুইজারল্যান্ড (Switzerland)","31,117","23","1,938","","28,800","","379","4,58,933","6.23"
"200","আর্জেন্টিনা (Argentina)","30,295","","819","4","9,564","481","19,912","2,34,370","2.7"
"95","পোল্যান্ড (Poland)","29,392","375","1,247","10","14,226","122","13,919","11,88,742","4.24"
"7","ফিলিপাইন (Philippines)","25,930","538","1,088","14","5,954","248","18,888","5,06,626","4.2"
"114","আয়ারল্যান্ড (Ireland)","25,303","8","1,706","1","22,698","","899","3,67,780","6.74"
"20","আফগানিস্থান (Afghanistan)","24,766","664","471","20","4,725","524","19,570","55,981","1.9"
"28","ওমান (Oman)","23,481","1,404","104","5","8,454","924","14,923","1,39,760","0.44"
"131","ডমিনিকান রিপাবলিক (Dominican Republic)","22,962","390","592","15","13,320","236","9,050","1,07,175","2.58"
"74","রোমানিয়া (Romania)","21,999","320","1,410","16","15,719","84","4,870","5,60,596","6.41"
"45","ইরাক (Iraq)","20,209","1,259","607","58","8,121","606","11,481","3,69,870","3"
"188","পানামা (Panama)","20,059","","429","","13,759","","5,871","89,736","2.14"
"58","ইসরায়েল (Israel)","19,055","83","300","","15,375","18","3,380","7,47,956","1.57"
"55","বাহরাইন (Bahrain)","18,227","514","41","4","12,818","627","5,368","4,18,413","0.22"
"201","বলিভিয়া (Bolivia)","17,842","913","585","26","2,768","337","14,489","46,069","3.28"
"3","জাপান (Japan)","17,382","","924","","15,580","","878","3,36,161","5.32"
"102","অস্ট্রিয়া (Austria)","17,109","31","677","","16,059","47","373","5,24,840","3.96"
"49","আরমেনিয়া (Armenia)","16,667","663","269","5","6,214","133","10,184","82,324","1.61"
"156","নাইজেরিয়া (Nigeria)","15,682","","407","","5,101","","10,174","90,464","2.6"
"24","কাজাখস্থান (Kazakhstan)","14,496","258","77","4","9,188","359","5,231","11,35,407","0.53"
"90","ডেনমার্ক (Denmark)","12,193","54","597","","11,068","33","528","7,99,876","4.9"
"1","দক্ষিণ কোরিয়া (South Korea)","12,085","34","277","","10,718","27","1,090","11,00,328","2.29"
"76","মলদোভা (Moldova)","11,740","281","406","8","6,623","202","4,711","63,328","3.46"
"169","ঘানা (Ghana)","11,422","304","51","3","4,156","177","7,215","2,45,448","0.45"
"124","আলজেরিয়া (Algeria)","10,919","109","767","7","7,606","186","2,546","","7.02"
"51","আজারবাইজান (Azerbaijan)","9,957","387","119","4","5,583","274","4,255","3,62,654","1.2"
"187","গুয়াতেমালা (Guatemala)","9,491","509","367","16","1,804","102","7,320","31,427","3.87"
"121","মরোক্কো (Morocco)","8,793","101","212","","7,765","69","816","4,22,520","2.41"
"179","ক্যামেরুন (Cameroon)","8,681","","212","","4,836","","3,633","","2.44"
"94","নরওয়ে (Norway)","8,629","1","242","","8,138","","249","2,77,253","2.8"
"182","হন্ডুরাস (Honduras)","8,455","323","310","4","894","50","7,251","21,540","3.67"
"5","মালয়েশিয়া (Malaysia)","8,453","8","121","1","7,346","35","986","6,18,360","1.43"
"19","অস্ট্রেলিয়া (Australia)","7,320","18","102","","6,838","26","380","18,12,353","1.39"
"71","ফিনল্যান্ড (Finland)","7,104","17","326","1","6,200","","578","2,19,500","4.59"
"139","সুদান (Sudan)","7,007","","447","","2,556","","4,004","401","6.38"
"33","নেপাল (Nepal)","5,760","425","19","1","974","61","4,767","3,44,098","0.33"
"163","সেনেগাল (Senegal)","5,090","94","60","","3,344","116","1,686","59,008","1.18"
